Even,,,,,,,Optimal,,,,,,,,,,
,,,,,,,,,,,,,,Even UAV1,Even UAV2,,Flight_time
12.18,11.42,10.74,9.79,278.1912,210.2892,,12.23,10.02,11.46,9.56,245.0892,219.1152,,,,,
12.24,11.39,11.33,9.73,278.8272,220.4818,,12.2,10.1,11.22,9.55,246.44,214.302,,,,,
12.23,10.59,10.74,9.76,259.0314,209.6448,,12.21,10.4,13.06,9.4,253.968,245.528,,,,,
12.12,11.92,10.84,9.76,288.9408,211.5968,,12.28,9.74,13.2,9.39,239.2144,247.896,,,,,
12.13,11.56,10.87,9.77,280.4456,212.3998,,12.34,9.24,14.1,9.32,228.0432,262.824,,,,,
12.15,11.81,11.46,9.75,286.983,223.47,,12.27,9.48,13.27,9.4,232.6392,249.476,,,,,
12.17,12.12,11.53,9.72,295.0008,224.1432,,12.24,9.54,11.69,9.48,233.5392,221.6424,,,,,
12.11,11.91,11.4,9.78,288.4602,222.984,,12.25,10.55,13.11,9.43,258.475,247.2546,,,,,
12.09,12.28,11.31,9.72,296.9304,219.8664,,12.29,9.55,13.34,9.38,234.739,250.2584,,,,,
12.06,11.48,10.35,9.83,276.8976,203.481,,12.27,9.55,12.91,9.44,234.357,243.7408,,,,,
12.11,11.65,11.19,9.78,282.163,218.8764,,12.32,9.15,13.75,9.36,225.456,257.4,,,,,
12.04,11.69,9.92,9.84,281.4952,195.2256,,12.3,9.46,13.54,9.24,232.716,250.2192,,,,,
12.11,11.24,10.84,9.75,272.2328,211.38,,12.22,10.26,12.39,9.46,250.7544,234.4188,,,,,
12.11,11.66,10.52,9.77,282.4052,205.5608,,12.3,9.5,13.64,9.36,233.7,255.3408,,,,,
12.01,12.7,11.69,9.71,305.054,227.0198,,12.19,9.92,12.81,9.44,241.8496,241.8528,,,,,
12.09,12.19,11.61,9.67,294.7542,224.5374,,12.24,9.93,12.56,9.43,243.0864,236.8816,,,,,
12.12,11.31,10.81,9.75,274.1544,210.795,,12.19,9.48,13.02,9.42,231.1224,245.2968,,,,,
12.03,11.56,12.29,9.69,278.1336,238.1802,,12.29,9.65,12.62,9.36,237.197,236.2464,,,,,
12.11,11.6,10.88,9.76,280.952,212.3776,,12.2,9.97,12.64,9.4,243.268,237.632,,,,,
12.14,11.14,11.25,9.65,270.4792,217.125,,12.19,10.52,12.48,9.42,256.4776,235.1232,,,,,
12.13,11.45,11.32,9.71,277.777,219.8344,,12.2,9.78,12.52,9.43,238.632,236.1272,,,,,
12.05,11.87,10.57,9.78,286.067,206.7492,,12.19,10.04,13.49,9.36,244.7752,252.5328,,,,,
12.09,11.71,10.99,9.7,283.1478,213.206,,12.17,10.11,12.15,9.45,246.0774,229.635,,,,,
12.01,12.22,10.65,9.74,293.5244,207.462,,12.13,9.49,12.41,9.41,230.2274,233.5562,,,,,
12.07,11.66,10.63,9.73,281.4724,206.8598,,12.17,10.19,12.33,9.44,248.0246,232.7904,,,,,
11.96,11.6,10.52,9.69,277.472,203.8776,,12.22,10.16,12.69,9.4,248.3104,238.572,,,,,
12.12,11.47,11.15,9.73,278.0328,216.979,,12.2,9.82,11.93,9.44,239.608,225.2384,,,,,
12.12,11.37,11.64,9.69,275.6088,225.5832,,12.22,9.96,12.76,9.34,243.4224,238.3568,,,,,
12.02,11.36,11.53,9.63,273.0944,222.0678,,12.17,10.2,12.37,9.39,248.268,232.3086,,,,,
12.06,11.68,10.71,9.77,281.7216,209.2734,,12.19,10.88,12.35,9.39,265.2544,231.933,,,,,
12.05,11.58,11.51,9.69,279.078,223.0638,,12.19,10.2,11.76,9.42,248.676,221.5584,,,,,
12.01,12.14,10.83,9.75,291.6028,211.185,,12.22,9.69,12.71,9.38,236.8236,238.4396,,,,,
12.09,11.39,10.88,9.72,275.4102,211.5072,,12.19,10.26,12.95,9.42,250.1388,243.978,,,,,
12.1,11.86,11.49,9.68,287.012,222.4464,,12.18,9.71,12.97,9.33,236.5356,242.0202,,,,,
12.02,12,10.76,9.76,288.48,210.0352,,12.17,9.37,12.41,9.35,228.0658,232.067,,,,,
12.1,11.75,11.22,9.68,284.35,217.2192,,12.14,9.89,11.23,9.48,240.1292,212.9208,,,,,
12.02,11.68,11.32,9.64,280.7872,218.2496,,12.23,9.71,12.93,9.36,237.5066,242.0496,,,,,
12.06,11.9,10.91,9.73,287.028,212.3086,,12.25,10.16,13.14,9.29,248.92,244.1412,,,,,
12.11,11.85,11.47,9.65,287.007,221.371,,12.16,9.72,12.73,9.36,236.3904,238.3056,,,,,
12.06,12.04,11.24,9.69,290.4048,217.8312,,12.2,9.71,12.76,9.36,236.924,238.8672,,,,,
12.02,12.08,10.86,9.7,290.4032,210.684,,12.18,10.17,12.37,9.38,247.7412,232.0612,,,,,
12.01,11.27,11.24,9.64,270.7054,216.7072,,12.15,10.3,12.27,9.4,250.29,230.676,,,,,
12.05,11.89,11.11,9.71,286.549,215.7562,,12.11,9.98,12.68,9.33,241.7156,236.6088,,,,,
12.04,11.93,11.17,9.72,287.2744,217.1448,,12.13,9.78,12.4,9.44,237.2628,234.112,,,,,
12.02,11.68,10.32,9.78,280.7872,201.8592,,12.19,9.56,12.98,9.31,233.0728,241.6876,,,,,
12.06,11.52,10.9,9.72,277.8624,211.896,,12.19,9.59,12.88,9.32,233.8042,240.0832,,,,,
12.04,11.73,11.35,9.67,282.4584,219.509,,12.19,9.57,12.48,9.38,233.3166,234.1248,,,,,
12.07,12.06,11.78,9.61,291.1284,226.4116,,12.17,9.99,12.11,9.41,243.1566,227.9102,,,,,
12.05,12.35,11.59,9.68,297.635,224.3824,,12.19,10.02,12.94,9.34,244.2876,241.7192,,,,,
12.09,11.1,11.01,9.69,268.398,213.3738,,12.19,9.72,12.58,9.33,236.9736,234.7428,,,,,
12.05,11.79,11.27,9.68,284.139,218.1872,,12.14,10.11,12.12,9.33,245.4708,226.1592,,,,,
12.13,11.56,10.87,9.77,280.4456,212.3998,,12.22,9.83,13.3,9.28,240.2452,246.848,,,,,
12.1,10.98,11.09,9.74,265.716,216.0332,,12.23,9.78,13.38,9.26,239.2188,247.7976,,,,,
12.15,11.81,11.46,9.75,286.983,223.47,,12.19,10.26,13.45,9.24,250.1388,248.556,,,,,
12.17,12.12,11.53,9.72,295.0008,224.1432,,12.19,9.89,13.05,9.35,241.1182,244.035,,,,,
